OrderKey,OrderDate,ProductKey,CustomerKey,CarrierKey,Units,GrossSales,Discount,Refund,COGS,Freight,Penalty,Expedite,OnTime,InFull,DelayDays
31,2025-12-29,4,35,2,12,456,36.48,0.0,278.16,23.4,0,0,1,1,0
32,2025-08-27,1,40,1,36,432,51.84,0.0,263.52,23.4,0,0,1,1,0
33,2024-06-14,1,42,1,91,1092,0,0,666.12,31.65,0,0,1,1,0
34,2024-03-19,3,8,2,83,498,39.84,0.0,303.78,30.45,0,0,1,1,0
35,2024-04-10,2,7,1,82,6970,557.6,0.0,4251.7,54.9,0,0,1,1,0
36,2025-07-25,3,44,3,27,162,0,0,98.82,22.05,3.24,41.75,0,1,2
37,2025-04-11,1,3,3,51,612,24.48,0.0,373.32,25.65,11.75,47.75,0,1,2
38,2025-08-01,1,25,3,45,540,21.6,0.0,329.4,24.75,0,0,1,1,0
39,2024-12-28,1,7,1,31,372,14.88,0.0,226.92,22.65,0,0,1,1,0
40,2025-03-09,3,26,3,13,78,0,0,47.58,19.95,1.56,38.25,0,1,2
41,2025-01-27,3,7,2,28,168,20.16,0.0,102.48,22.2,0,0,1,1,0
42,2024-12-28,2,15,2,97,8245,329.8,0.0,5029.45,61.65,158.3,59.25,0,1,2
43,2025-05-12,1,7,1,56,672,0,0,409.92,26.4,0,0,1,1,0
44,2025-07-18,4,4,2,20,760,91.2,0.0,463.6,27.0,0,0,1,1,0
45,2024-02-07,4,41,2,10,380,45.6,0.0,231.8,22.5,0,0,1,1,0
46,2025-08-19,1,17,1,91,1092,0,0,666.12,31.65,21.84,0,0,1,1
47,2024-06-18,4,32,3,57,2166,86.64,0.0,1321.26,43.65,41.59,49.25,0,1,4
48,2024-08-22,2,38,1,86,7310,584.8,0.0,4459.1,56.7,0,0,1,1,0
49,2025-03-22,1,29,1,95,1140,0,0,695.4,32.25,0,0,1,1,0
50,2024-02-20,2,36,3,13,1105,88.4,0.0,674.05,23.85,20.33,38.25,0,1,4
51,2025-12-01,1,46,2,69,828,33.12,0.0,505.08,28.35,0,0,1,1,0
52,2025-08-30,4,12,1,20,760,91.2,0.0,463.6,27.0,0,0,1,1,0
53,2025-11-22,4,19,1,18,684,27.36,0.0,417.24,26.1,0,0,1,1,0
54,2024-05-09,1,46,1,70,840,67.2,0.0,512.4,28.5,0,0,1,1,0
55,2024-07-28,1,42,1,44,528,63.36,0.0,322.08,24.6,0,0,1,1,0
56,2025-06-26,4,46,2,92,3496,0,0,2132.56,59.4,0,0,1,1,0
57,2025-08-16,4,19,3,31,1178,0,0,718.58,31.95,23.56,42.75,0,1,4
58,2024-10-23,1,11,2,87,1044,0,0,636.84,31.05,0,0,1,1,0
59,2024-04-22,2,28,1,42,3570,0,0,2177.7,36.9,0,0,1,1,0
60,2024-10-18,2,38,1,93,7905,316.2,0.0,4822.05,59.85,0,0,1,1,0
61,2025-03-25,3,3,2,83,498,0,0,303.78,30.45,0,0,1,1,0
62,2025-12-03,1,32,2,93,1116,133.92,0.0,680.76,31.95,0,0,1,1,0
63,2025-01-04,4,25,2,77,2926,234.08,0.0,1784.86,52.65,53.84,0,0,1,1
64,2025-03-09,3,17,2,23,138,11.04,0.0,84.18,21.45,2.54,40.75,0,1,4
65,2025-12-11,2,48,1,21,1785,142.8,0.0,1088.85,27.45,0,0,1,1,0
66,2024-05-21,4,43,3,77,2926,117.04,0.0,1784.86,52.65,56.18,0,0,1,1
67,2024-09-09,4,18,1,36,1368,54.72,0.0,834.48,34.2,0,0,1,1,0
68,2024-06-05,2,46,2,12,1020,0,0,622.2,23.4,0,0,1,1,0
69,2024-03-28,1,22,1,66,792,31.68,0.0,483.12,27.9,0,0,1,1,0
70,2024-11-07,3,14,1,15,90,10.8,0.0,54.9,20.25,1.58,38.75,0,1,2
71,2025-02-05,4,22,3,68,2584,0,0,1576.24,48.6,0,0,1,1,0
72,2024-06-05,2,29,2,56,4760,190.4,0.0,2903.6,43.2,0,0,1,1,0
73,2025-07-17,4,8,3,30,1140,91.2,0.0,695.4,31.5,20.98,42.5,0,1,2
74,2025-03-24,4,45,1,15,570,22.8,0.0,347.7,24.75,0,0,1,1,0
75,2024-07-23,2,6,2,39,3315,397.8,0.0,2022.15,35.55,0,0,1,1,0
76,2025-10-25,1,13,1,99,1188,95.04,0.0,724.68,32.85,0,0,1,1,0
77,2025-11-11,4,9,1,29,1102,88.16,0.0,672.22,31.05,20.28,0,0,1,1
78,2025-03-19,3,47,3,42,252,10.08,0.0,153.72,24.3,0,0,1,1,0
79,2025-03-08,3,47,1,26,156,18.72,0.0,95.16,21.9,0,0,1,1,0
80,2025-05-29,2,27,1,57,4845,193.8,0.0,2955.45,43.65,93.02,0,0,1,1
81,2024-04-21,1,38,1,11,132,5.28,0.0,80.52,19.65,0,0,1,1,0
82,2025-06-09,3,38,1,67,402,48.24,0.0,245.22,28.05,0,0,1,1,0
83,2024-11-04,1,31,3,39,468,56.16,0.0,285.48,23.85,8.24,0,0,1,1
84,2025-09-23,1,1,3,36,432,17.28,0.0,263.52,23.4,8.29,0,0,1,1
85,2024-03-07,3,37,1,90,540,64.8,0.0,329.4,31.5,9.5,57.5,0,1,2
86,2024-05-31,3,26,2,74,444,35.52,0.0,270.84,29.1,8.17,53.5,0,1,2
87,2024-10-07,1,11,3,62,744,0,0,453.84,27.3,14.88,50.5,0,1,2
88,2024-06-29,4,40,3,79,3002,120.08,0.0,1831.22,53.55,57.64,54.75,0,1,4
89,2024-11-17,2,21,2,91,7735,618.8,0.0,4718.35,58.95,0,0,1,1,0
90,2024-05-31,2,32,2,75,6375,765.0,0.0,3888.75,51.75,0,0,1,1,0
91,2025-12-01,4,35,2,10,380,15.2,0.0,231.8,22.5,7.3,37.5,0,1,4
92,2025-03-19,1,29,1,85,1020,122.4,0.0,622.2,30.75,0,0,1,1,0
93,2024-07-26,1,35,2,99,1188,142.56,0.0,724.68,32.85,0,0,1,1,0
94,2025-05-04,3,45,1,18,108,12.96,0.0,65.88,20.7,0,0,1,1,0
95,2025-08-06,4,6,3,13,494,59.28,0.0,301.34,23.85,8.69,38.25,0,1,4
96,2024-08-16,4,30,3,87,3306,132.24,0.0,2016.66,57.15,0,0,1,1,0
97,2025-08-18,1,25,2,32,384,0,384,234.24,22.8,0,0,1,1,0
98,2025-12-26,2,48,3,54,4590,550.8,0.0,2799.9,42.3,0,0,1,1,0
99,2025-04-27,2,3,1,14,1190,47.6,0.0,725.9,24.3,0,0,1,1,0
100,2025-05-26,4,32,1,17,646,25.84,0.0,394.06,25.65,12.4,39.25,0,1,2
101,2024-03-19,2,34,1,62,5270,0,0,3214.7,45.9,0,0,1,1,0
102,2024-01-20,2,26,2,95,8075,323.0,0.0,4925.75,60.75,0,0,1,1,0
103,2025-07-14,2,44,1,12,1020,122.4,0.0,622.2,23.4,0,0,1,1,0
104,2025-03-05,3,20,2,48,288,11.52,0.0,175.68,25.2,0,0,1,1,0
105,2025-03-23,2,25,3,27,2295,91.8,0.0,1399.95,30.15,0,0,1,1,0
106,2024-05-17,2,47,3,29,2465,197.2,0.0,1503.65,31.05,0,0,1,0,0
107,2024-02-28,3,10,3,39,234,28.08,0.0,142.74,23.85,4.12,0,0,1,1
108,2024-06-30,2,1,1,86,7310,584.8,0.0,4459.1,56.7,0,0,1,1,0
109,2025-01-16,4,26,3,23,874,34.96,0.0,533.14,28.35,16.78,40.75,0,1,4
110,2024-01-29,1,13,2,41,492,59.04,0.0,300.12,24.15,8.66,45.25,0,1,2
111,2024-04-26,3,18,3,34,204,24.48,0.0,124.44,23.1,3.59,43.5,0,1,4
112,2024-01-08,2,45,1,20,1700,204.0,0.0,1037.0,27.0,0,0,1,1,0
113,2024-09-24,3,22,2,37,222,0,0,135.42,23.55,0,0,1,1,0
114,2024-06-05,3,31,3,90,540,21.6,0.0,329.4,31.5,10.37,0,0,1,1
115,2024-04-05,4,37,2,95,3610,144.4,0.0,2202.1,60.75,0,0,1,1,0
116,2024-09-11,3,30,1,97,582,23.28,0.0,355.02,32.55,0,0,1,1,0
117,2025-05-02,2,45,1,15,1275,0,0,777.75,24.75,25.5,38.75,0,1,4
118,2025-01-20,3,10,1,41,246,29.52,0.0,150.06,24.15,0,0,1,1,0
119,2024-01-11,1,2,1,50,600,72.0,0.0,366.0,25.5,0,0,1,1,0
120,2024-12-02,4,23,2,94,3572,285.76,0.0,2178.92,60.3,0,0,1,1,0
121,2025-12-11,1,16,1,39,468,56.16,0.0,285.48,23.85,0,0,1,1,0
122,2024-05-14,1,44,3,17,204,0,0,124.44,20.55,4.08,39.25,0,0,2
123,2024-06-22,4,14,1,19,722,86.64,0.0,440.42,26.55,0,0,1,1,0
124,2024-02-12,4,20,3,63,2394,191.52,0.0,1460.34,46.35,44.05,50.75,0,0,2
125,2024-04-02,4,37,2,29,1102,88.16,0.0,672.22,31.05,0,0,1,1,0
126,2024-04-29,4,21,1,64,2432,194.56,0.0,1483.52,46.8,0,0,1,1,0
127,2024-10-05,4,35,1,47,1786,0,0,1089.46,39.15,35.72,0,0,1,1
128,2025-01-24,4,48,2,73,2774,0,0,1692.14,50.85,55.48,53.25,0,1,4
129,2024-02-05,1,1,1,99,1188,47.52,0.0,724.68,32.85,0,0,1,1,0
130,2025-03-17,3,3,1,86,516,0,0,314.76,30.9,0,0,1,1,0
131,2024-04-03,3,24,1,97,582,0,0,355.02,32.55,0,0,1,1,0
132,2025-08-18,3,9,1,92,552,66.24,0.0,336.72,31.8,0,0,1,1,0
133,2025-08-29,2,46,1,25,2125,85.0,0.0,1296.25,29.25,40.8,41.25,0,1,2
134,2025-09-03,2,45,3,47,3995,319.6,0.0,2436.95,39.15,0,0,1,1,0
135,2024-09-28,2,42,3,75,6375,255.0,0.0,3888.75,51.75,0,0,1,1,0
136,2024-11-22,3,26,2,25,150,12.0,0.0,91.5,21.75,0,0,1,1,0
137,2025-06-07,4,18,3,63,2394,95.76,0.0,1460.34,46.35,0,0,1,1,0
138,2024-01-30,2,12,1,41,3485,0,0,2125.85,36.45,0,0,1,1,0
139,2024-03-09,2,33,1,14,1190,0,0,725.9,24.3,23.8,38.5,0,1,2
140,2025-06-10,1,40,1,85,1020,81.6,0.0,622.2,30.75,0,0,1,1,0
141,2025-09-07,2,48,3,23,1955,0,0,1192.55,28.35,39.1,40.75,0,1,4
142,2024-11-09,3,14,2,94,564,45.12,0.0,344.04,32.1,10.38,58.5,0,1,2
143,2024-07-29,1,13,2,90,1080,129.6,0.0,658.8,31.5,0,0,1,1,0
144,2024-02-04,1,5,1,80,960,76.8,0.0,585.6,30.0,0,0,1,0,0
145,2025-07-16,2,38,1,83,7055,0,0,4303.55,55.35,0,0,1,1,0
146,2024-09-20,2,11,3,60,5100,408.0,0.0,3111.0,45.0,0,0,1,1,0
147,2024-03-11,3,29,3,29,174,0,0,106.14,22.35,0,0,1,1,0
148,2025-11-11,2,21,2,65,5525,221.0,0.0,3370.25,47.25,0,0,1,1,0
149,2025-12-18,4,20,2,25,950,76.0,0.0,579.5,29.25,0,0,1,1,0
150,2025-07-30,1,7,1,85,1020,81.6,0.0,622.2,30.75,18.77,56.25,0,1,2
151,2025-08-23,1,17,3,29,348,13.92,0.0,212.28,22.35,6.68,42.25,0,1,2
152,2025-03-19,3,35,3,73,438,17.52,0.0,267.18,28.95,8.41,53.25,0,1,4
153,2025-01-28,3,20,3,19,114,9.12,0.0,69.54,20.85,0,0,1,1,0
154,2025-05-03,4,28,3,28,1064,127.68,0.0,649.04,30.6,0,0,1,1,0
155,2025-12-18,3,14,3,90,540,21.6,0.0,329.4,31.5,0,0,1,1,0
156,2024-10-11,3,45,2,67,402,0,0,245.22,28.05,0,0,1,1,0
157,2025-03-03,2,24,3,61,5185,0,0,3162.85,45.45,0,0,1,1,0
158,2025-07-20,4,38,3,92,3496,139.84,0.0,2132.56,59.4,67.12,58.0,0,1,2
159,2025-04-02,4,27,3,76,2888,115.52,0.0,1761.68,52.2,55.45,0,0,1,1
160,2024-12-30,2,41,1,32,2720,326.4,0.0,1659.2,32.4,0,0,1,1,0
161,2025-05-24,2,44,3,99,8415,1009.8,0.0,5133.15,62.55,148.1,0,0,1,1
162,2024-06-22,1,30,3,37,444,17.76,0.0,270.84,23.55,8.52,44.25,0,1,2
163,2025-07-14,4,5,1,63,2394,287.28,0.0,1460.34,46.35,0,0,1,1,0
164,2024-05-11,2,21,2,81,6885,550.8,0.0,4199.85,54.45,126.68,0,0,1,1
165,2024-09-18,3,34,1,18,108,8.64,0.0,65.88,20.7,0,0,1,1,0
166,2024-12-02,3,34,1,74,444,0,0,270.84,29.1,8.88,53.5,0,1,2
167,2024-05-13,2,21,3,10,850,102.0,0.0,518.5,22.5,0,0,1,1,0
168,2024-07-09,3,36,2,53,318,0,0,193.98,25.95,6.36,0,0,1,1
169,2025-08-27,2,36,2,83,7055,282.2,0.0,4303.55,55.35,0,0,1,1,0
170,2025-10-23,2,6,3,32,2720,108.8,0.0,1659.2,32.4,0,0,1,1,0
171,2024-09-06,4,14,3,13,494,0,0,301.34,23.85,0,0,1,1,0
172,2024-05-20,1,22,2,27,324,25.92,0.0,197.64,22.05,5.96,0,0,1,1
173,2024-06-20,3,11,2,78,468,18.72,0.0,285.48,29.7,0,0,1,1,0
174,2025-03-08,1,3,2,75,900,0,0,549.0,29.25,0,0,1,0,0
175,2024-02-13,3,47,3,34,204,8.16,0.0,124.44,23.1,0,0,1,1,0
176,2024-04-03,2,17,3,41,3485,418.2,0.0,2125.85,36.45,61.34,0,0,1,1
177,2024-05-08,3,23,3,79,474,0,0,289.14,29.85,0,0,1,1,0
178,2025-07-28,2,47,3,49,4165,0,0,2540.65,40.05,0,0,1,1,0
179,2024-12-09,4,7,3,93,3534,424.08,0.0,2155.74,59.85,62.2,58.25,0,1,2
180,2024-04-09,1,6,3,34,408,0,408,248.88,23.1,0,0,1,1,0
181,2025-01-01,3,42,3,57,342,41.04,0.0,208.62,26.55,6.02,0,0,1,1
182,2024-07-01,3,12,3,42,252,20.16,0.0,153.72,24.3,4.64,45.5,0,1,2
183,2025-11-13,1,48,1,64,768,92.16,0.0,468.48,27.6,0,0,1,1,0
184,2025-12-01,1,43,1,63,756,0,0,461.16,27.45,0,0,1,1,0
185,2025-08-21,1,32,1,24,288,34.56,0.0,175.68,21.6,5.07,41.0,0,1,2
186,2024-10-17,4,30,2,59,2242,89.68,0.0,1367.62,44.55,0,0,1,1,0
187,2025-06-27,1,9,1,96,1152,46.08,0.0,702.72,32.4,22.12,59.0,0,1,2
188,2025-10-27,3,9,3,38,228,18.24,0.0,139.08,23.7,0,0,1,1,0
189,2025-10-21,1,6,1,96,1152,92.16,0.0,702.72,32.4,21.2,0,0,1,1
190,2025-07-21,1,25,2,19,228,18.24,0.0,139.08,20.85,0,0,1,1,0
191,2025-01-03,2,34,3,72,6120,0,0,3733.2,50.4,122.4,0,0,1,1
192,2025-09-04,4,20,2,25,950,76.0,0.0,579.5,29.25,0,0,1,1,0
193,2025-04-25,2,31,1,99,8415,336.6,0.0,5133.15,62.55,161.57,59.75,0,1,2
194,2024-12-28,3,34,2,75,450,0,0,274.5,29.25,0,0,1,1,0
195,2025-10-27,2,15,3,37,3145,0,0,1918.45,34.65,62.9,44.25,0,1,4
196,2025-01-03,4,18,2,98,3724,148.96,0.0,2271.64,62.1,0,0,1,1,0
197,2025-12-10,4,7,3,35,1330,0,0,811.3,33.75,0,0,1,1,0
198,2024-09-11,3,10,2,81,486,58.32,0.0,296.46,30.15,8.55,55.25,0,1,4
199,2025-06-06,3,18,2,11,66,5.28,0.0,40.26,19.65,0,0,1,1,0
200,2024-07-26,2,46,2,49,4165,499.8,0.0,2540.65,40.05,0,0,1,1,0
201,2024-06-01,1,24,2,86,1032,41.28,0.0,629.52,30.9,0,0,1,1,0
202,2025-08-30,2,39,3,41,3485,0,0,2125.85,36.45,69.7,45.25,0,1,4
203,2024-01-07,2,1,3,45,3825,153.0,0.0,2333.25,38.25,73.44,46.25,0,1,2
204,2025-06-14,1,25,1,19,228,9.12,0.0,139.08,20.85,0,0,1,1,0
205,2024-05-25,4,40,1,84,3192,383.04,0.0,1947.12,55.8,0,0,1,1,0
206,2024-12-12,4,4,1,64,2432,194.56,0.0,1483.52,46.8,0,0,1,1,0
207,2025-09-03,1,11,3,47,564,22.56,0.0,344.04,25.05,10.83,46.75,0,1,2
208,2025-09-18,1,35,1,43,516,0,0,314.76,24.45,0,0,1,1,0
209,2024-12-03,2,21,3,36,3060,0,0,1866.6,34.2,0,0,1,1,0
210,2024-02-27,4,28,1,68,2584,206.72,0.0,1576.24,48.6,0,0,1,1,0
211,2024-07-01,2,2,3,88,7480,299.2,0.0,4562.8,57.6,143.62,57.0,0,1,4
212,2025-01-02,1,47,2,40,480,38.4,0.0,292.8,24.0,0,0,1,1,0
213,2024-05-24,3,26,1,43,258,10.32,0.0,157.38,24.45,0,0,1,1,0
214,2024-09-20,4,10,2,69,2622,104.88,0.0,1599.42,49.05,0,0,1,1,0
215,2024-08-25,4,39,3,13,494,59.28,0.0,301.34,23.85,8.69,38.25,0,1,2
216,2024-12-04,1,14,1,49,588,47.04,0.0,358.68,25.35,0,0,1,1,0
217,2024-07-18,3,23,3,42,252,30.24,0.0,153.72,24.3,0,0,1,1,0
218,2024-01-17,1,44,1,94,1128,45.12,0.0,688.08,32.1,0,0,1,1,0
219,2024-09-07,1,4,3,14,168,6.72,0.0,102.48,20.1,0,0,1,1,0
220,2025-08-31,4,2,1,34,1292,51.68,0.0,788.12,33.3,0,0,1,1,0
221,2024-10-27,4,5,1,16,608,48.64,0.0,370.88,25.2,11.19,39.0,0,1,4
222,2025-01-06,2,10,2,92,7820,0,0,4770.2,59.4,0,0,1,1,0
223,2025-12-01,3,17,2,67,402,0,0,245.22,28.05,8.04,0,0,1,1
224,2025-11-08,1,43,2,31,372,29.76,0.0,226.92,22.65,0,0,1,1,0
225,2024-07-30,4,45,1,63,2394,95.76,0.0,1460.34,46.35,0,0,1,1,0
226,2025-12-30,1,43,2,79,948,113.76,0.0,578.28,29.85,0,0,1,0,0
227,2024-01-07,4,30,3,95,3610,433.2,0.0,2202.1,60.75,0,0,1,1,0
228,2024-10-12,3,3,2,79,474,0,0,289.14,29.85,9.48,0,0,1,1
229,2025-04-20,4,15,1,81,3078,246.24,0.0,1877.58,54.45,0,0,1,1,0
230,2025-04-22,2,29,2,24,2040,0,0,1244.4,28.8,0,0,1,1,0
231,2024-01-11,3,48,2,34,204,0,0,124.44,23.1,0,0,1,1,0
232,2025-03-14,1,24,1,59,708,84.96,0.0,431.88,26.85,0,0,1,1,0
233,2024-02-25,4,21,1,100,3800,456.0,0.0,2318.0,63.0,66.88,0,0,1,1
234,2024-09-20,3,41,3,33,198,7.92,0.0,120.78,22.95,3.8,43.25,0,1,2
235,2024-04-19,4,41,1,90,3420,273.6,0.0,2086.2,58.5,0,0,1,1,0
236,2024-01-04,1,15,2,20,240,19.2,0.0,146.4,21.0,0,0,1,1,0
237,2024-03-13,1,19,3,58,696,0,0,424.56,26.7,0,0,1,1,0
238,2024-06-22,2,34,3,84,7140,285.6,0.0,4355.4,55.8,0,0,1,1,0
239,2024-10-08,2,29,2,32,2720,326.4,0.0,1659.2,32.4,0,0,1,1,0
240,2024-12-10,2,43,2,41,3485,0,0,2125.85,36.45,0,0,1,1,0
241,2024-02-15,3,48,1,23,138,5.52,0.0,84.18,21.45,0,0,1,1,0
242,2024-03-25,1,38,2,85,1020,0,0,622.2,30.75,0,0,1,1,0
243,2025-10-13,2,26,2,68,5780,693.6,0.0,3525.8,48.6,0,0,1,1,0
244,2025-03-18,3,39,1,30,180,0,0,109.8,22.5,0,0,1,1,0
245,2024-08-09,3,37,1,10,60,0,0,36.6,19.5,0,0,1,1,0
246,2025-05-30,4,47,3,87,3306,132.24,0.0,2016.66,57.15,0,0,1,1,0
247,2025-04-17,3,16,1,75,450,54.0,0.0,274.5,29.25,0,0,1,0,0
248,2024-10-20,3,26,2,59,354,28.32,0.0,215.94,26.85,0,0,1,1,0
249,2025-03-25,4,35,2,66,2508,100.32,0.0,1529.88,47.7,0,0,1,1,0
250,2024-04-29,3,26,1,48,288,23.04,0.0,175.68,25.2,0,0,1,1,0
251,2025-09-14,1,16,3,86,1032,41.28,0.0,629.52,30.9,19.81,56.5,0,1,2
252,2025-12-08,3,41,2,99,594,0,0,362.34,32.85,0,0,1,1,0
253,2024-02-21,1,31,2,97,1164,46.56,0.0,710.04,32.55,0,0,1,1,0
254,2025-07-30,4,20,1,60,2280,91.2,0.0,1390.8,45.0,0,0,1,1,0
255,2024-02-03,4,14,3,45,1710,68.4,0.0,1043.1,38.25,0,0,1,1,0
256,2025-06-07,1,41,3,24,288,23.04,0.0,175.68,21.6,0,0,1,1,0
257,2025-06-19,1,40,1,93,1116,0,0,680.76,31.95,0,0,1,1,0
258,2025-09-01,4,20,3,43,1634,0,0,996.74,37.35,0,0,1,1,0
259,2025-06-01,3,42,1,71,426,34.08,0.0,259.86,28.65,0,0,1,1,0
260,2025-06-25,3,28,3,11,66,7.92,0.0,40.26,19.65,1.16,0,0,1,1
261,2025-07-30,3,48,1,19,114,4.56,0.0,69.54,20.85,0,0,1,1,0
262,2025-11-13,2,15,1,11,935,37.4,0.0,570.35,22.95,0,0,1,1,0
263,2024-05-19,2,36,1,85,7225,867.0,0.0,4407.25,56.25,0,0,1,1,0
264,2024-03-05,3,20,3,10,60,0,0,36.6,19.5,1.2,37.5,0,1,2
265,2024-08-26,4,26,1,47,1786,142.88,0.0,1089.46,39.15,32.86,46.75,0,1,2
266,2024-11-17,1,7,3,50,600,24.0,0.0,366.0,25.5,11.52,47.5,0,1,2
267,2024-07-30,4,26,3,15,570,45.6,0.0,347.7,24.75,0,0,1,1,0
268,2025-11-17,2,39,2,37,3145,125.8,0.0,1918.45,34.65,0,0,1,1,0
269,2024-02-01,3,5,1,91,546,65.52,0.0,333.06,31.65,0,0,1,1,0
270,2025-06-14,2,39,1,53,4505,540.6,0.0,2748.05,41.85,0,0,1,1,0
271,2024-12-05,1,43,1,37,444,0,0,270.84,23.55,0,0,1,1,0
272,2024-05-06,2,20,1,31,2635,316.2,0.0,1607.35,31.95,0,0,1,1,0
273,2024-12-30,4,34,3,47,1786,142.88,0.0,1089.46,39.15,0,0,1,1,0
274,2024-11-17,4,32,2,13,494,59.28,0.0,301.34,23.85,0,0,1,1,0
275,2024-02-16,2,30,3,87,7395,591.6,0.0,4510.95,57.15,0,0,1,1,0
276,2025-10-06,1,44,1,17,204,0,0,124.44,20.55,0,0,1,1,0
277,2024-06-03,3,48,3,29,174,20.88,0.0,106.14,22.35,3.06,42.25,0,1,4
278,2025-09-17,3,2,2,91,546,0,0,333.06,31.65,0,0,1,1,0
279,2025-09-23,3,44,1,20,120,4.8,0.0,73.2,21.0,0,0,1,1,0
280,2024-09-16,2,40,1,72,6120,734.4,5385.6,3733.2,50.4,0,0,1,1,0
281,2025-06-11,4,15,2,78,2964,237.12,0.0,1808.04,53.1,0,0,1,1,0
282,2025-04-19,3,14,1,17,102,12.24,0.0,62.22,20.55,0,0,1,1,0
283,2024-11-30,2,23,1,74,6290,754.8,0.0,3836.9,51.3,0,0,1,1,0
284,2024-06-16,2,12,3,62,5270,632.4,0.0,3214.7,45.9,0,0,1,1,0
285,2025-01-12,2,24,2,48,4080,489.6,0.0,2488.8,39.6,71.81,47.0,0,1,2
286,2025-11-03,4,44,1,28,1064,42.56,0.0,649.04,30.6,0,0,1,1,0
287,2025-01-08,3,7,1,22,132,10.56,0.0,80.52,21.3,0,0,1,1,0
288,2024-04-26,2,26,1,79,6715,268.6,0.0,4096.15,53.55,0,0,1,1,0
289,2024-09-22,4,20,1,92,3496,419.52,0.0,2132.56,59.4,0,0,1,1,0
290,2025-02-04,2,6,3,69,5865,469.2,0.0,3577.65,49.05,107.92,0,0,1,1
291,2025-04-26,4,3,1,93,3534,424.08,0.0,2155.74,59.85,0,0,1,1,0
292,2024-02-04,3,47,2,10,60,7.2,0.0,36.6,19.5,1.06,0,0,1,1
293,2025-02-15,4,9,3,59,2242,269.04,0.0,1367.62,44.55,39.46,0,0,1,1
294,2024-04-01,1,5,3,16,192,15.36,0.0,117.12,20.4,3.53,0,0,1,1
295,2024-11-24,2,28,3,79,6715,537.2,0.0,4096.15,53.55,123.56,0,0,1,1
296,2025-12-28,1,1,1,29,348,0,0,212.28,22.35,0,0,1,1,0
297,2025-04-22,2,2,2,59,5015,401.2,0.0,3059.15,44.55,0,0,1,1,0
298,2024-12-12,1,24,3,59,708,84.96,0.0,431.88,26.85,0,0,1,1,0
299,2025-09-13,1,43,2,32,384,15.36,0.0,234.24,22.8,0,0,1,1,0
300,2024-05-06,4,12,2,66,2508,100.32,0.0,1529.88,47.7,0,0,1,1,0
301,2024-11-22,3,31,1,61,366,0,0,223.26,27.15,0,0,1,1,0
